RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,ZeroBalance_Highsalary_Flag,Product_Engagement_Score,Balance_to_Salary_Ratio
42,15738148,Clarke,465.0,France,Female,26.0,8,122522.32,1,0,0,1632.4624999999942,1,0,1,75.05368117184955
43,15687946,Osborne,515.5,France,Female,26.0,2,117419.35,1,1,1,1632.4624999999942,0,0,3,71.9277471917428
44,15755196,Lavine,515.5,France,Female,26.0,2,131394.56,1,0,0,1632.4624999999942,1,0,1,80.48856252440743
45,15684171,Bianchi,515.5,Spain,Female,26.0,5,155931.11,1,1,1,1632.4624999999942,0,0,3,95.51895372788076
46,15754849,Tyler,515.5,Germany,Female,26.0,4,109421.13,2,1,1,1632.4624999999942,0,0,4,67.02826558037346
47,15602280,Martin,515.5,Germany,Female,26.0,9,112045.67,1,1,1,1632.4624999999942,1,0,3,68.63598398125555
48,15771573,Okagbue,515.5,Germany,Female,26.0,9,137843.8,1,1,1,1632.4624999999942,1,0,3,84.43918313590694
49,15766205,Yin,515.5,Germany,Male,26.0,2,103391.38,1,0,1,1632.4624999999942,0,0,2,63.334612586813094
50,15771873,Buccho,515.5,Germany,Female,26.0,2,103769.22,2,1,0,1632.4624999999942,0,0,3,63.56606660183641
51,15616550,Chidiebele,515.5,Germany,Male,26.0,10,116363.37,2,1,0,1632.4624999999942,0,0,3,71.2808839406727
52,15768193,Trevisani,515.5,Germany,Male,26.0,5,146050.97,2,0,0,1632.4624999999942,0,0,2,89.4666615619045
53,15683553,O'Brien,515.5,France,Female,26.0,5,0.0,2,0,0,1632.4624999999942,0,1,2,0.0
54,15702298,Parkhill,515.5,Germany,Male,26.0,8,125561.97,1,0,0,1632.4624999999942,1,0,1,76.91568412750703
55,15569590,Yoo,515.5,Germany,Male,26.0,1,98495.72,1,1,0,1632.4624999999942,1,0,2,60.33567080407688
56,15760861,Phillipps,515.5,France,Male,26.0,1,125211.92,1,1,1,1632.4624999999942,0,0,3,76.70125347442924
57,15630053,Tsao,515.5,France,Male,26.0,5,127864.4,1,1,0,1632.4624999999942,0,0,2,78.32608712298166
58,15647091,Endrizzi,515.5,Germany,Male,19.0,0,75888.2,1,0,0,1632.4624999999942,0,0,1,46.48694839850855
59,15623944,T'ien,511.0,Spain,Female,26.0,4,0.0,1,1,0,1632.4624999999942,1,0,2,0.0
60,15804771,Velazquez,515.5,France,Male,26.0,4,40685.92,1,1,1,1632.4624999999942,0,0,3,24.9230349854898
61,15651280,Hunter,515.5,Germany,Male,26.0,5,136857.0,1,0,0,1632.4624999999942,0,0,1,83.8346975811086
62,15773469,Clark,515.5,Germany,Female,26.0,9,152328.88,2,0,0,1632.4624999999942,0,0,2,93.31233029855237
63,15702014,Jeffrey,515.5,Spain,Male,26.0,1,56084.69,2,0,0,1632.4624999999942,0,0,2,34.35588260067242
64,15751208,Pirozzi,515.5,Spain,Male,26.0,8,78707.16,1,1,1,1632.4624999999942,0,0,3,48.21376295014451
65,15592461,Jackson,515.5,Germany,Male,26.0,4,109166.37,1,1,1,1632.4624999999942,0,0,3,66.87220686539531
66,15789484,Hammond,515.5,Germany,Female,26.0,6,169831.46,2,1,1,1632.4624999999942,0,0,4,104.03391195816174
67,15696061,Brownless,515.5,Germany,Female,26.0,1,101633.04,1,1,0,1632.4624999999942,0,0,2,62.257503618000634
68,15641582,Chibugo,515.5,Germany,Male,26.0,10,123180.01,2,1,1,1632.4624999999942,0,0,4,75.45656332075036
69,15638424,Glauert,515.5,Germany,Female,26.0,5,150725.53,2,0,1,1632.4624999999942,0,0,3,92.33016378630477
71,15703793,Konovalova,515.5,Germany,Male,26.0,2,133745.44,4,1,0,1632.4624999999942,1,0,5,81.92864460898825
72,15620344,McKee,515.5,France,Male,26.0,6,0.0,1,1,0,1632.4624999999942,0,0,2,0.0
73,15812518,Palermo,515.5,Spain,Female,26.0,0,163607.18,1,0,1,1632.4624999999942,0,0,2,100.22109543098269
74,15779052,Ballard,515.5,Germany,Female,25.0,5,157780.84,2,1,1,1632.4624999999942,0,0,4,96.65204560594842
75,15770811,Wallace,515.5,France,Male,26.0,9,0.0,2,0,1,1632.4624999999942,0,1,3,0.0
76,15780961,Cavenagh,515.5,France,Female,21.0,1,178718.19,2,1,0,1632.4624999999942,0,0,3,109.47766947173405
77,15614049,Hu,515.5,France,Male,26.0,8,0.0,2,1,1,1632.4624999999942,0,1,4,0.0
78,15662085,Read,515.5,France,Female,26.0,9,0.0,1,1,1,1632.4624999999942,0,1,3,0.0
79,15575185,Bushell,515.5,Spain,Male,26.0,5,77253.22,1,0,1,1632.4624999999942,0,0,2,47.323120745499686
80,15803136,Postle,416.0,Germany,Female,26.0,10,122189.66,2,1,0,1632.4624999999942,0,0,3,74.84990313713206
81,15706021,Buley,515.5,France,Female,26.0,1,96645.54,2,0,0,1632.4624999999942,0,0,2,59.20230326883487
82,15663706,Leonard,515.5,France,Female,26.0,2,0.0,1,1,0,1632.4624999999942,1,1,2,0.0
83,15641732,Mills,515.5,France,Female,26.0,3,0.0,2,0,0,1632.4624999999942,0,0,2,0.0
84,15701164,Onyeorulu,506.0,France,Female,26.0,4,90307.62,1,1,1,1632.4624999999942,0,0,3,55.31987411655724
85,15738751,Beit,493.0,France,Female,26.0,4,0.0,2,1,0,1632.4624999999942,0,0,3,0.0
86,15805254,Ndukaku,515.5,Spain,Female,26.0,10,0.0,2,1,1,1632.4624999999942,0,1,4,0.0
87,15762418,Gant,515.5,Spain,Male,22.0,3,121681.82,1,1,0,1632.4624999999942,1,0,2,74.5388148272934
88,15625759,Rowley,515.5,France,Male,26.0,9,0.0,2,1,0,1632.4624999999942,0,1,3,0.0
89,15622897,Sharpe,515.5,France,Female,26.0,4,0.0,3,1,0,1632.4624999999942,1,0,4,0.0
90,15767954,Osborne,515.5,Germany,Female,26.0,3,81623.67,2,1,1,1632.4624999999942,0,0,4,50.000333851466905
91,15757535,Heap,515.5,Spain,Female,26.0,5,0.0,3,1,1,1632.4624999999942,1,1,5,0.0
92,15731511,Ritchie,515.5,France,Male,26.0,7,118626.55,2,1,0,1632.4624999999942,0,0,3,72.6672435048281
93,15809248,Cole,515.5,France,Female,26.0,10,0.0,2,1,0,1632.4624999999942,0,1,3,0.0
94,15640635,Capon,515.5,France,Male,26.0,8,0.0,2,1,1,1632.4624999999942,0,1,4,0.0
95,15676966,Capon,515.5,Spain,Male,26.0,4,0.0,2,0,1,1632.4624999999942,0,0,3,0.0
96,15699461,Fiorentini,515.0,Spain,Male,26.0,10,176273.95,1,0,1,1632.4624999999942,0,0,2,107.98039771204584
97,15738721,Graham,515.5,Spain,Male,26.0,9,102827.44,1,0,1,1632.4624999999942,0,0,2,62.989159015904114
98,15693683,Yuille,515.5,Germany,Male,26.0,8,97086.4,2,1,1,1632.4624999999942,0,0,4,59.47236153969867
100,15633059,Fanucci,413.0,France,Male,26.0,9,0.0,2,0,0,1632.4624999999942,0,0,2,0.0
101,15808582,Fu,515.5,France,Female,26.0,6,0.0,1,1,1,1632.4624999999942,0,1,3,0.0
102,15743192,Hung,515.5,France,Female,26.0,6,0.0,2,0,0,1632.4624999999942,0,1,2,0.0
103,15580146,Hung,515.5,France,Male,26.0,9,82674.15,1,1,0,1632.4624999999942,0,0,2,50.6438279592948
104,15776605,Bradley,515.5,Spain,Male,26.0,7,0.0,2,1,0,1632.4624999999942,0,0,3,0.0
105,15804919,Dunbabin,515.5,Spain,Female,26.0,1,0.0,1,1,1,1632.4624999999942,1,1,3,0.0
106,15613854,Mauldon,515.5,Spain,Female,26.0,4,107073.27,2,1,1,1632.4624999999942,1,0,4,65.59003346171835
107,15599195,Stiger,515.5,Germany,Male,26.0,1,88938.62,1,1,1,1632.4624999999942,0,0,3,54.48126373500176
108,15812878,Parsons,515.5,Germany,Female,26.0,2,99806.85,1,0,1,1632.4624999999942,0,0,2,61.138831673009555
109,15602312,Walkom,515.5,Spain,Male,26.0,5,150092.8,1,0,0,1632.4624999999942,0,0,1,91.94257142200848
110,15744689,T'ang,479.0,Germany,Male,26.0,9,92833.89,1,1,0,1632.4624999999942,1,0,2,56.86739511627393
111,15803526,Eremenko,515.5,Germany,Male,26.0,3,90536.81,1,0,1,1632.4624999999942,0,0,2,55.460269378316696
112,15665790,Rowntree,515.5,Germany,Male,26.0,7,108055.1,2,1,0,1632.4624999999942,0,0,3,66.19147453616876
113,15715951,Thorpe,515.5,France,Male,26.0,2,100238.35,1,0,0,1632.4624999999942,0,0,1,61.403156274646655
114,15591100,Chiemela,515.5,Spain,Male,26.0,9,106190.55,1,0,1,1632.4624999999942,0,0,2,65.04930434849216
115,15609618,Fanucci,515.5,Germany,Male,26.0,9,154475.54,2,0,1,1632.4624999999942,1,0,3,94.62731303169326
116,15675522,Ko,515.5,Germany,Female,26.0,9,132351.29,2,1,1,1632.4624999999942,0,0,4,81.0746280542435
117,15705512,Welch,515.5,Germany,Female,26.0,6,167864.4,1,1,0,1632.4624999999942,0,0,2,102.82894706616574
118,15698028,Duncan,506.0,France,Female,26.0,1,0.0,2,1,0,1632.4624999999942,0,0,3,0.0
119,15661670,Chidozie,515.5,Germany,Female,26.0,8,107818.63,1,1,0,1632.4624999999942,1,0,2,66.04661975389963
120,15600781,Wu,515.5,Germany,Male,26.0,4,185173.81,2,1,0,1632.4624999999942,0,0,3,113.43219828939449
121,15682472,Culbreth,515.5,France,Male,26.0,8,129433.34,2,0,0,1632.4624999999942,0,0,2,79.28717504996314
122,15580203,Kennedy,515.5,Spain,Male,26.0,6,120193.42,1,0,0,1632.4624999999942,0,0,1,73.6270634088075
123,15690673,Cameron,515.5,France,Female,26.0,6,0.0,2,1,0,1632.4624999999942,0,1,3,0.0
124,15760085,Calabresi,515.5,Germany,Female,26.0,10,126384.42,1,1,1,1632.4624999999942,0,0,3,77.41949355651383
125,15779659,Zetticci,515.5,France,Female,26.0,3,0.0,1,0,0,1632.4624999999942,0,1,1,0.0
126,15627360,Fuller,432.0,France,Male,26.0,9,152603.45,1,1,0,1632.4624999999942,1,0,2,93.48052405491738
127,15671137,MacDonald,515.5,France,Female,26.0,1,0.0,1,0,1,1632.4624999999942,1,0,2,0.0
128,15782688,Piccio,515.5,Germany,Male,26.0,0,148507.24,1,1,0,1632.4624999999942,1,0,2,90.97130255672062
129,15575492,Kennedy,515.5,France,Female,26.0,7,0.0,2,1,0,1632.4624999999942,0,1,3,0.0
131,15740404,He,515.5,France,Female,26.0,3,0.0,2,1,1,1632.4624999999942,0,1,4,0.0
132,15718369,Kaodilinakachukwu,515.5,Germany,Female,26.0,9,130862.43,1,1,1,1632.4624999999942,0,0,3,80.16259485286827
133,15677871,Cocci,515.5,France,Male,26.0,9,122570.87,1,1,1,1632.4624999999942,0,0,3,75.08342151810558
134,15642004,Alekseeva,515.5,France,Male,25.0,1,0.0,2,0,1,1632.4624999999942,0,0,3,0.0
135,15712543,Chinweike,515.5,Germany,Male,26.0,7,124828.46,2,1,1,1632.4624999999942,0,0,4,76.4663568075839
136,15584518,Arthur,515.5,Germany,Female,26.0,5,144895.05,2,1,1,1632.4624999999942,0,0,4,88.75857791526636
137,15802381,Li,461.0,Germany,Female,26.0,5,63663.93,1,0,1,1632.4624999999942,0,0,2,38.99870900556688
138,15610156,Ma,515.5,France,Male,26.0,2,133463.1,1,0,1,1632.4624999999942,0,0,2,81.75569117207928
139,15594408,Chia,515.5,Spain,Female,26.0,2,213146.2,1,1,0,1632.4624999999942,1,0,2,130.56728715054757
140,15640905,Vasin,515.5,Spain,Female,26.0,1,129490.36,2,0,1,1632.4624999999942,1,0,3,79.32210387681215
141,15698932,Groves,515.5,Germany,Male,26.0,10,137452.09,1,1,0,1632.4624999999942,0,0,2,84.19923275419832
142,15724944,Tien,515.5,France,Male,26.0,7,0.0,2,1,1,1632.4624999999942,0,1,4,0.0
143,15628145,Forwood,515.5,France,Female,26.0,5,125851.93,1,1,1,1632.4624999999942,0,0,3,77.09330535923517
144,15713483,Greeves,515.5,Spain,Male,26.0,2,0.0,1,1,0,1632.4624999999942,1,1,2,0.0
145,15612350,Taylor,515.5,France,Female,26.0,5,40915.55,1,1,0,1632.4624999999942,1,0,2,25.06369977870864
147,15705707,Bennelong,515.5,Spain,Female,26.0,8,138296.94,2,1,0,1632.4624999999942,0,0,3,84.7167637847733
148,15754105,Olisanugo,515.5,France,Male,26.0,5,106967.18,1,0,0,1632.4624999999942,0,0,1,65.52504575143404
149,15703264,Chukwufumnanya,515.5,France,Male,26.0,9,120681.63,1,1,0,1632.4624999999942,0,0,2,73.92612694012907
150,15794413,Harris,416.0,France,Male,26.0,0,0.0,2,0,1,878.87,0,0,3,0.0
151,15650237,Morgan,515.5,Spain,Female,26.0,7,0.0,2,1,0,1632.4624999999942,0,0,3,0.0
152,15759618,Alexeeva,515.5,France,Female,26.0,9,0.0,1,1,0,1632.4624999999942,1,1,2,0.0
153,15811589,Metcalfe,515.5,Spain,Male,26.0,8,0.0,2,1,0,1632.4624999999942,0,1,3,0.0
154,15689044,Humphries,515.5,France,Male,26.0,2,127609.59,1,1,0,1632.4624999999942,0,0,2,78.1699977794286
155,15709368,Milne,515.5,France,Female,26.0,6,0.0,2,1,1,1632.4624999999942,0,1,4,0.0
156,15679145,Chou,515.5,Spain,Male,26.0,7,0.0,1,1,0,1632.4624999999942,1,0,2,0.0
157,15655007,Li,515.5,France,Female,26.0,7,0.0,2,0,0,1632.4624999999942,0,0,2,0.0
158,15623595,Clayton,515.5,Spain,Female,26.0,2,0.0,2,1,1,1632.4624999999942,0,0,4,0.0
159,15589975,Maclean,515.5,France,Female,26.0,6,97259.25,1,0,1,1632.4624999999942,0,0,2,59.57824452322816
160,15804017,Chigolum,515.5,Germany,Female,26.0,4,123246.7,1,0,0,1632.4624999999942,0,0,1,75.49741571399063
162,15641122,Wei,515.5,France,Male,26.0,2,0.0,2,1,0,1632.4624999999942,0,0,3,0.0
163,15630910,Treacy,515.5,France,Female,26.0,7,108007.36,1,0,0,1632.4624999999942,0,0,1,66.16223037282657
164,15680772,Hu,515.5,Spain,Female,26.0,2,0.0,2,1,1,1632.4624999999942,0,1,4,0.0
165,15658929,Taverner,515.5,Spain,Male,26.0,0,133702.89,1,1,0,1632.4624999999942,1,0,2,81.90257969172369
166,15585388,Sherman,515.5,Germany,Male,26.0,9,125189.75,2,1,1,1632.4624999999942,0,0,4,76.68767276430573
168,15588537,Robinson,515.5,Spain,Female,26.0,9,109013.23,1,1,0,1632.4624999999942,0,0,2,66.77839766610282
169,15574692,Pinto,515.5,Spain,Female,26.0,2,0.0,2,1,0,1632.4624999999942,1,0,3,0.0
171,15587562,Hawkins,484.0,France,Female,26.0,4,130114.39,1,1,0,1632.4624999999942,0,0,2,79.70436686907078
172,15613172,Sun,515.5,Germany,Male,26.0,5,95826.49,2,1,0,1632.4624999999942,0,0,3,58.70057658292325
173,15651022,Yost,480.0,Germany,Male,26.0,10,129608.57,1,1,0,1632.4624999999942,1,0,2,79.39451595365925
174,15586310,Ting,515.5,France,Male,26.0,4,169462.09,1,1,0,1632.4624999999942,0,0,2,103.80764642373138
175,15625524,Rowe,512.0,France,Male,26.0,5,0.0,2,1,1,1632.4624999999942,0,1,4,0.0
176,15755209,Fu,484.0,Spain,Female,26.0,7,133868.21,1,1,1,1632.4624999999942,0,0,3,82.00385001186886
177,15645248,Ho,510.0,France,Female,26.0,0,0.0,2,1,1,1632.4624999999942,0,1,4,0.0
178,15790355,Okechukwu,515.5,Germany,Male,26.0,5,190479.48,2,0,0,1632.4624999999942,0,0,2,116.68230051226334
179,15762615,Campbell,515.5,Spain,Female,26.0,8,101993.12,1,0,1,1632.4624999999942,0,0,2,62.47807836320918
180,15625426,Ashbolt,515.5,Germany,Female,26.0,3,161608.81,1,1,0,1632.4624999999942,1,0,2,98.99695092536618
181,15716334,Rozier,515.5,Spain,Female,26.0,2,122311.21,1,1,1,1632.4624999999942,0,0,3,74.92436120278441
182,15789669,Hsia,510.0,France,Male,26.0,2,0.0,2,1,1,1632.4624999999942,0,0,4,0.0
183,15621075,Ogbonnaya,515.5,Germany,Female,26.0,1,162150.42,2,1,0,1632.4624999999942,0,0,3,99.32872577471188
184,15810845,T'ang,515.5,France,Male,26.0,2,0.0,2,1,1,1632.4624999999942,0,0,4,0.0
185,15719377,Cocci,515.5,France,Female,26.0,4,0.0,1,1,1,1632.4624999999942,1,0,3,0.0
186,15654506,Chang,514.0,France,Male,26.0,8,0.0,2,1,0,1632.4624999999942,0,0,3,0.0
187,15771977,T'ao,515.5,France,Female,26.0,1,99010.67,1,1,0,1632.4624999999942,0,0,2,60.65111449727044
188,15708710,Ford,515.5,Spain,Female,26.0,0,0.0,1,0,1,1632.4624999999942,0,1,2,0.0
189,15726676,Marshall,515.5,Spain,Male,26.0,5,0.0,2,0,1,1632.4624999999942,0,1,3,0.0
190,15587421,Tsai,515.5,Germany,Female,26.0,7,111388.18,2,1,0,1632.4624999999942,0,0,3,68.23322434665445
191,15726931,Onwumelu,515.5,France,Female,26.0,8,56214.85,2,0,0,1632.4624999999942,1,0,2,34.43561490692754
192,15771086,Graham,512.0,France,Female,26.0,3,84327.77,2,1,0,1632.4624999999942,0,0,3,51.65678844077601
193,15756850,Golovanov,479.0,France,Male,26.0,1,0.0,2,0,0,1632.4624999999942,0,1,2,0.0
194,15702741,Potts,515.5,France,Male,26.0,8,93012.89,1,1,0,1632.4624999999942,0,0,2,56.97704541451968
195,15679200,Crawford,515.5,Spain,Male,26.0,9,61710.44,2,1,0,1632.4624999999942,0,0,3,37.80205670880662
196,15594815,Aleshire,515.5,France,Male,26.0,3,174790.15,1,1,1,600.36,0,0,3,291.1422313278699
197,15635905,Moran,515.5,Spain,Female,26.0,6,0.0,2,1,1,1632.4624999999942,0,0,4,0.0
198,15777892,Samsonova,515.5,Germany,Male,26.0,3,107720.64,1,1,1,1632.4624999999942,0,0,3,65.98659387275382
199,15656176,Jenkins,501.0,France,Male,26.0,10,0.0,2,1,1,1632.4624999999942,0,0,4,0.0
200,15811127,Volkov,515.5,France,Male,26.0,6,96423.84,1,1,0,1632.4624999999942,0,0,2,59.06649616759977
201,15604482,Chiemezie,515.5,Spain,Male,26.0,2,141040.01,1,1,1,1632.4624999999942,0,0,3,86.39709028538206
202,15622911,Jude,515.5,France,Male,26.0,4,105420.18,1,0,1,1632.4624999999942,0,0,2,64.57739764313139
203,15600974,He,515.5,Spain,Male,26.0,5,0.0,1,0,1,1632.4624999999942,1,1,2,0.0
204,15727868,Onuora,515.5,France,Female,26.0,2,129022.06,2,1,1,1632.4624999999942,1,0,4,79.03523664402732
205,15627801,Ginikanwa,512.0,Spain,Male,26.0,3,176666.62,1,1,0,1632.4624999999942,0,0,2,108.22093616239309
206,15773039,Ku,515.5,France,Male,26.0,3,0.0,1,1,1,1632.4624999999942,0,1,3,0.0
207,15755262,McDonald,515.5,Spain,Female,26.0,3,89763.84,1,0,0,1632.4624999999942,1,0,1,54.986769987059624
208,15679531,Collins,515.5,France,Male,26.0,5,134954.53,1,1,1,1632.4624999999942,0,0,3,82.66929868220586
209,15684181,Hackett,515.5,France,Male,26.0,5,0.0,1,1,0,1632.4624999999942,1,1,2,0.0
210,15612087,Dike,515.5,France,Male,26.0,2,106376.85,1,0,1,1632.4624999999942,0,0,2,65.16342641867755
211,15752047,Trevisano,515.5,Germany,Male,26.0,2,161814.64,2,1,0,1632.4624999999942,0,0,3,99.12303651691882
212,15624592,Tan,515.5,France,Male,26.0,8,0.0,2,1,1,1632.4624999999942,0,1,4,0.0
213,15573152,Glassman,515.5,France,Female,26.0,9,0.0,2,0,0,1632.4624999999942,0,0,2,0.0
214,15594917,Miller,515.5,France,Female,26.0,1,63095.01,1,1,1,1632.4624999999942,0,0,3,38.65020482859498
215,15785542,Kornilova,515.5,Germany,Male,26.0,4,118287.01,2,0,0,1632.4624999999942,0,0,2,72.45925097820037
216,15723488,Watson,515.5,Germany,Male,26.0,7,106854.21,1,0,1,1632.4624999999942,1,0,2,65.4558435492395
217,15680920,Marchesi,515.5,France,Male,26.0,7,49512.55,1,1,0,1632.4624999999942,0,0,2,30.329976951997477
218,15786308,Millar,515.5,Spain,Female,26.0,9,0.0,2,0,0,1632.4624999999942,0,1,2,0.0
219,15659366,Shih,515.5,France,Male,26.0,1,105799.32,2,1,0,1632.4624999999942,1,0,3,64.80964800110286
220,15774854,Fuller,515.5,France,Male,26.0,8,0.0,1,1,1,1632.4624999999942,1,0,3,0.0
221,15725311,Hay,515.5,France,Female,26.0,9,114722.05,2,1,1,1632.4624999999942,0,0,4,70.27545808862403
222,15787155,Yang,514.0,Spain,Male,26.0,7,0.0,1,0,1,1632.4624999999942,0,1,2,0.0
223,15727829,McIntyre,515.5,France,Male,26.0,2,0.0,2,1,1,1632.4624999999942,0,1,4,0.0
224,15733247,Stevenson,515.5,France,Male,26.0,10,0.0,1,1,0,1632.4624999999942,1,0,2,0.0
225,15568748,Poole,515.5,Germany,Male,26.0,6,99564.22,1,1,1,1632.4624999999942,1,0,3,60.99020345030918
226,15699029,Bagley,515.5,France,Male,26.0,4,170557.91,2,1,0,1632.4624999999942,0,0,3,104.4789145233049
227,15774393,Ch'ien,515.5,France,Female,26.0,9,0.0,2,1,1,1632.4624999999942,0,0,4,0.0
228,15676895,Cattaneo,515.5,Germany,Female,26.0,6,74596.15,3,1,1,1632.4624999999942,1,0,5,45.695475393768774
229,15637753,O'Sullivan,515.5,Germany,Male,26.0,2,96888.39,1,1,0,1632.4624999999942,1,0,2,59.351066257264925
230,15605461,Lucas,515.5,Germany,Female,26.0,3,130830.22,1,1,0,1632.4624999999942,0,0,2,80.14286392489902
231,15808473,Ringrose,515.5,France,Male,26.0,1,0.0,2,0,1,1632.4624999999942,0,1,3,0.0
232,15627000,Freeman,515.5,France,Male,26.0,0,0.0,2,1,0,1632.4624999999942,0,0,3,0.0
233,15787174,Sergeyev,512.0,France,Female,26.0,1,0.0,2,0,1,1632.4624999999942,0,1,3,0.0
235,15704769,Smith,515.5,France,Female,26.0,5,113978.97,2,0,1,1632.4624999999942,0,0,3,69.8202684594595
236,15772896,Dumetochukwu,515.5,Germany,Male,26.0,6,100160.75,1,1,0,1632.4624999999942,1,0,2,61.355620726356875
237,15711540,Pacheco,515.5,France,Female,26.0,2,0.0,1,1,1,1632.4624999999942,0,1,3,0.0
238,15764866,Synnot,515.5,Germany,Female,26.0,3,116220.5,3,1,0,1632.4624999999942,1,0,4,71.19336585067063
239,15794056,Johnston,515.5,France,Female,26.0,2,0.0,3,1,0,1632.4624999999942,1,0,4,0.0
240,15795149,Stevens,515.5,France,Male,26.0,2,81173.83,2,0,1,1632.4624999999942,0,0,3,49.72477468854586
241,15812009,Grant,515.5,Spain,Male,26.0,4,0.0,2,1,0,1632.4624999999942,0,1,3,0.0
